#,n,l,m,f.mean,f.sdev
#,u0: 37289.47137978341,type: wavelet,uMax: 37289.47137978341,nMax: 0,ellMax: 0
,50,4,0,6.583572105605594e-06,4.6512155598269025e-07
,51,4,0,2.133918269757848e-06,2.8614632174965645e-07
,52,4,0,4.283171641620109e-06,2.2257392483010553e-07
,53,4,0,-4.4824839606999695e-06,2.01543925062403e-07
,54,4,0,2.032512334743061e-06,2.9024274684383465e-07
,55,4,0,1.452907992356918e-06,2.048197085796203e-07
,56,4,0,2.5590247688505825e-06,1.7670854814328515e-07
,57,4,0,8.451463822085087e-07,1.142513037028282e-07
,58,4,0,-9.347401260514054e-07,1.397884761718102e-07
,59,4,0,-1.381634246427204e-06,1.5118293032294444e-07
,60,4,0,2.363145516272381e-06,1.5654965781401696e-07
,61,4,0,9.5389670301727e-07,8.676691079136126e-08
,62,4,0,2.0986410193226437e-07,9.377612390093877e-08
,63,4,0,-2.868679924550241e-07,7.427217580799649e-08
,64,4,0,4.640171308586309e-07,1.5503948853361616e-07
,65,4,0,1.7629731436164417e-05,2.314774032718694e-06
,66,4,0,5.897248626503188e-05,5.723926922293114e-06
,67,4,0,3.327569896295621e-05,5.513644331188768e-06
,68,4,0,-0.00012347461711555426,2.5227974371264647e-06
,69,4,0,-0.0003080411040756476,2.996156526039637e-06
,70,4,0,-0.0002289709562425552,6.042329595569397e-06
,71,4,0,0.0001221146248795602,8.183846246140241e-06
,72,4,0,0.000416738895255499,7.660535071736228e-06
,73,4,0,0.0002923628498711256,6.310618058213774e-06
,74,4,0,-8.053163858014938e-06,5.673768104338663e-06
,75,4,0,-0.0001241014035696218,7.228104772879628e-06
,76,4,0,-4.93401660955528e-05,6.501287749883832e-06
,77,4,0,3.0307762765259252e-05,5.116304587807811e-06
,78,4,0,3.2131243091931724e-06,4.1327928808978025e-06
,79,4,0,-2.9497546982327534e-05,4.966008225622025e-06
,80,4,0,3.3649614974323285e-07,4.55410189884984e-06
,81,4,0,1.3041989006523304e-05,3.282283522139042e-06
,82,4,0,-1.2438492010671895e-05,2.2902910994719497e-06
,83,4,0,-1.9694393979848574e-05,1.957855162832638e-06
,84,4,0,8.265271241593161e-07,1.8521231497827415e-06
,85,4,0,7.6044473609435255e-06,1.3360663385242751e-06
,86,4,0,-3.7385185436248756e-06,9.43731968993564e-07
,87,4,0,-1.4251839235925489e-05,9.628513201492732e-07
,88,4,0,-2.164777669542391e-06,1.1512368166352533e-06
,89,4,0,6.623383003615389e-06,1.0518678824514184e-06
,90,4,0,2.6220020119886453e-06,8.634114336021298e-07
,91,4,0,-2.0894485691656713e-06,7.316154473964426e-07
,92,4,0,3.3724098394765186e-06,7.454381238474576e-07
,93,4,0,7.469954969377275e-06,5.468924289026799e-07
,94,4,0,1.3886064337468176e-06,3.73329918083944e-07
,95,4,0,-4.235326046400906e-06,3.8018547266450423e-07
,0,4,2,-6.071577676362637e-05,5.435834743846454e-07
,1,4,2,-0.00011500458064814067,1.6126863778987033e-06
,2,4,2,-0.0004556975544091203,3.965071023782699e-06
,3,4,2,-1.5942746726264587e-05,2.101409392609588e-07
,4,4,2,0.0011734531832223384,3.3954011295136263e-06
,5,4,2,0.00010181569355627305,1.3934148406127622e-06
,6,4,2,-1.0302621037153988e-05,2.952224269195261e-07
,7,4,2,5.818285886207903e-07,9.307916695087288e-08
,8,4,2,8.174399105558049e-05,3.822134389593373e-06
,9,4,2,-0.0008649751868656735,6.048240509129549e-06
,10,4,2,-1.5588200495994075e-06,2.05883080512171e-06
,11,4,2,-5.050680716184725e-05,7.465325734837495e-07
,12,4,2,-1.0016650614207732e-06,3.839034025532177e-07
,13,4,2,1.781952958125556e-05,1.7376661790933467e-07
,14,4,2,7.845499344266965e-06,1.0788870628329701e-07
,15,4,2,-6.997221099375287e-06,7.105318501377035e-08
,16,4,2,-0.00012164175270593217,2.673841553309955e-06
,17,4,2,-0.00014720359526456832,3.587517740431878e-06
,18,4,2,0.0008608430387694755,6.5261287154342875e-06
,19,4,2,-0.00018027711143802106,4.988630803876708e-06
,20,4,2,-4.349855251729087e-05,2.6690824418183322e-06
,21,4,2,6.371455466241788e-05,1.1511908633847364e-06
,22,4,2,-7.168220796809689e-06,9.899025456191634e-07
,23,4,2,-2.3889687020291478e-05,4.920307971039458e-07
,24,4,2,2.3364352286713817e-05,3.9354628182527726e-07
,25,4,2,-1.7741062874357215e-05,3.1909300136480567e-07
,26,4,2,3.706905168593855e-06,1.6465208289997652e-07
,27,4,2,1.5977578629219445e-06,1.9664066070344348e-07
,28,4,2,-4.617751972196719e-06,1.0843936092409132e-07
,29,4,2,2.3132654427596646e-06,9.614768146967227e-08
,30,4,2,-4.393720103189323e-06,8.307055667417981e-08
,31,4,2,3.971449294369024e-06,5.0146798576195546e-08
,32,4,2,-9.713084472004893e-06,1.0655479600019254e-06
,33,4,2,-7.287160425936963e-05,5.276351264474049e-06
,34,4,2,0.00015997151293822793,3.486428247213392e-06
,35,4,2,-0.00019878719990270975,4.934133141637497e-06
,36,4,2,0.0006824848496309907,8.500246189344652e-06
,37,4,2,-0.00024293008642675468,7.3239322654370494e-06
,38,4,2,-0.00021014660490026844,5.961264517700919e-06
,39,4,2,-1.4270561486252655e-05,5.798525124480675e-06
,40,4,2,6.0902443498756106e-06,3.927134658295529e-06
,41,4,2,-3.463362668083897e-05,2.179233356482786e-06
,42,4,2,2.9075522042038126e-05,1.2160945723246026e-06
,43,4,2,1.4869470659981457e-05,1.0308389175330495e-06
,44,4,2,8.586000876486907e-06,1.1421346348274812e-06
,45,4,2,-7.6015310592570644e-06,9.457445290186659e-07
,46,4,2,-1.0037461059397789e-05,6.271783435707035e-07
,47,4,2,-2.919724271396572e-06,3.960632820654814e-07
,48,4,2,1.0109667500861052e-05,4.214359290565389e-07
